DATE;VALUE
2010.1.1;1219
2010.2.1;1477
2010.3.1;1863
2010.4.1;1554
2010.5.1;1443
2010.6.1;1424
2010.7.1;1494
2010.8.1;1197
2010.9.1;1344
2010.10.1;1490
2010.11.1;1688
2010.12.1;1922
2011.1.1;1198
2011.2.1;1486
2011.3.1;1340
2011.4.1;1274
2011.5.1;1143
2011.6.1;1216
2011.7.1;1574
2011.8.1;1880
2011.9.1;1879
2011.10.1;2278
2011.11.1;2349
2011.12.1;2394
2012.1.1;1882
2012.2.1;1903
2012.3.1;1981
2012.4.1;1845
2012.5.1;1403
2012.6.1;1412
2012.7.1;1288
2012.8.1;1570.2
2012.9.1;1827
2012.10.1;1984
2012.11.1;1779
2012.12.1;1486
2013.1.1;870
2013.2.1;1021
2013.3.1;975
2013.4.1;958
2013.5.1;776
2013.6.1;806
2013.7.1;1058
2013.8.1;1679
2013.9.1;1896
2013.10.1;2059
2013.11.1;2036
2013.12.1;1941
2014.1.1;1148
2014.2.1;1532
2014.3.1;1445
2014.4.1;1732
2014.5.1;1262
2014.6.1;762
2014.7.1;1319
2014.8.1;2007
2014.9.1;2170
2014.10.1;2545
2014.11.1;2397
2014.12.1;2282
2015.1.1;1770.5
2015.2.1;1704
2015.3.1;1739
2015.4.1;1392
2015.5.1;1153
2015.6.1;1218
2015.7.1;1241
2015.8.1;1891
2015.9.1;2086.7
2015.10.1;2393
2015.11.1;2236.4
2015.12.1;2353.6
2016.1.1;1517.2
2016.2.1;2003.8
2016.3.1;2111.5
2016.4.1;1824
2016.5.1;1232.8
2016.6.1;981.2
2016.7.1;1258
2016.8.1;1842.1
2016.9.1;2050.6
2016.10.1;2147.2
2016.11.1;2306
2016.12.1;2337.3
2017.1.1;1754.7
2017.2.1;1782.1
2017.3.1;2099.6
2017.4.1;1914.5
2017.5.1;1583.1
2017.6.1;1347.9
2017.7.1;1435.1
2017.8.1;2124
2017.9.1;2421.7
2017.10.1;2697.3
2017.11.1;2796.7
2017.12.1;2789.3
2018.1.1;2358.6
2018.2.1;2519.7
2018.3.1;2883.4
2018.4.1;2867.8
2018.5.1;2722
2018.6.1;2260
2018.7.1;1709.2
2018.8.1;2165.8
2018.9.1;2347.9
2018.10.1;2596
2018.11.1;2586.9
2018.12.1;2701.9
2019.1.1;2208.5
2019.2.1;2337.1
2019.3.1;2145
2019.4.1;1561.6
2019.5.1;1147.7
2019.6.1;940.6
2019.7.1;1632.5
2019.8.1;2192.3
2019.9.1;2333.4
2019.10.1;2606.7
2019.11.1;2527.5
2019.12.1;2491
